UTC,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT
1654770121,20.75,51.52,348,400,13081,19918,939.287,0.26,0.27,1.76,0.275,0.006,8778
1654768423,20.23,55.32,214,400,13149,20048,939.56,0.42,0.44,2.89,0.45,0.01,7080
1654755208,-11.206,51.57,1350,409,12960,19395,938.739,1.96,2.04,13.5,2.104,0.048,21877
1654755863,-19.2,48.35,1360,430,12956,19385,938.761,1.91,1.99,13.17,2.053,0.046,22532
1654781889,27.02,46.84,1109,400,12982,19443,938.741,2.2,2.29,15.14,2.361,0.053,20546
1654785855,25.38,48.42,1419,444,12972,19370,938.788,2.02,2.1,13.9,2.167,0.049,24512
1655130022,13.298,16.27,532,400,13777,20663,936.672,0.73,0.76,5.06,0.789,0.018,5714
1654774213,27.14,46.8,1099,551,12836,19467,938.899,1.86,1.93,12.78,1.992,0.045,12870
1654785026,24.64,53.08,1360,409,12975,19383,938.708,1.78,1.85,12.23,1.907,0.043,23683
1654734485,27.042,49.89,19,400,13059,19952,939.783,0.43,0.45,2.97,0.463,0.01,1154
1654769456,20.91,50.15,305,400,13117,19962,939.388,0.23,0.23,1.55,0.242,0.005,8113
1654750211,13.866,47.72,1063,400,12898,19455,938.753,2.03,2.11,13.99,2.181,0.049,16880
1654780556,26.8,48.39,1201,400,12926,19429,938.678,1.9,1.98,13.09,2.041,0.046,19213
1654715811,26.91,44.09,0,400,13282,21174,937.434,1.84,1.91,12.68,1.977,0.045,3624
1654783248,26.29,50.96,1293,400,12971,19407,938.743,1.73,1.8,11.92,1.859,0.042,21905
1654774565,27.04,47.12,1115,527,12840,19449,938.875,2.07,2.15,14.22,2.218,0.05,13222
1654747121,18.698,52.92,1088,497,12849,19463,938.898,2.23,2.32,15.37,2.396,0.054,13790
1654740150,-5.915,54.31,230,400,13137,20032,939.606,0.42,0.43,2.87,0.447,0.01,6819
1654735086,24.465,54.64,37,400,13131,20027,939.625,0.69,0.72,4.74,0.74,0.017,1755
1654770372,18.53,56.69,362,400,13054,19894,939.276,0.5,0.52,3.42,0.534,0.012,9029
1654743156,-3.8,51.6,791,959,12649,19549,939.145,2.32,2.41,15.99,2.493,0.056,9825
1654748784,12.196,48.63,1199,445,12860,19421,938.811,1.91,1.98,13.14,2.049,0.046,15453
1654752040,20.514,53.25,1222,410,12911,19416,938.705,1.91,1.98,13.12,2.045,0.046,18709
1654738262,-8.029,50.19,27,400,13248,20185,939.674,2.28,2.37,15.69,2.446,0.055,4931
1654735962,16.05,50.88,69,400,13195,20106,939.632,0.98,1.02,6.73,1.05,0.024,2631
1654750098,13.527,47.4,1118,400,12894,19451,938.766,1.84,1.92,12.69,1.979,0.045,16767
1654741175,-4.097,52.28,306,400,13107,19954,939.4,0.31,0.32,2.14,0.334,0.008,7844
1654748226,13.554,47.86,1099,435,12870,19455,938.82,1.85,1.92,12.73,1.985,0.045,14895
1654751066,17.147,50.34,1189,413,12900,19432,938.711,1.42,1.47,9.75,1.521,0.034,17735
1654767875,18.92,55.56,210,400,13147,20061,939.594,0.56,0.58,3.87,0.603,0.014,6532
